wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,wing_high,wing_low,wing_rel,color_rel,tail_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
N,B,S,N_B_S.png,training,2,11,6,medium,color,wing,tail,Y,B,N,T,H2,L1,I1,C,S,67,6_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,medium,high,medium,high,medium,low,low"
T,B,C,T_B_C.png,training,2,12,5,low,color,wing,tail,Y,B,N,T,L2,L1,I2,C,S,67,5_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,medium,high,medium,high,medium,low,low"
N,Y,S,N_Y_S.png,training,2,13,5,high,color,wing,tail,Y,B,N,T,H2,H1,I1,C,S,67,5_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,medium,high,medium,high,medium,low,low"
T,Y,C,T_Y_C.png,training,2,14,5,medium,color,wing,tail,Y,B,N,T,L2,H1,I2,C,S,67,5_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,medium,high,medium,high,medium,low,low"
T,B,S,T_B_S.png,training,2,15,2,low,color,wing,tail,Y,B,N,T,L2,L1,I1,C,S,67,2_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,medium,high,medium,high,medium,low,low"
N,B,C,N_B_C.png,training,2,16,7,medium,color,wing,tail,Y,B,N,T,H2,L1,I2,C,S,67,7_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,medium,high,medium,high,medium,low,low"
T,Y,S,T_Y_S.png,training,3,17,5,medium,color,wing,tail,Y,B,N,T,L2,H1,I1,C,S,67,5_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,medium,high,medium,high,medium,low,low"
N,B,C,N_B_C.png,training,3,18,5,medium,color,wing,tail,Y,B,N,T,H2,L1,I2,C,S,67,5_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,medium,high,medium,high,medium,low,low"
T,Y,C,T_Y_C.png,training,3,19,4,medium,color,wing,tail,Y,B,N,T,L2,H1,I2,C,S,67,4_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,medium,high,medium,high,medium,low,low"
T,B,C,T_B_C.png,training,3,20,3,low,color,wing,tail,Y,B,N,T,L2,L1,I2,C,S,67,3_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,medium,high,medium,high,medium,low,low"
N,B,S,N_B_S.png,training,3,21,4,medium,color,wing,tail,Y,B,N,T,H2,L1,I1,C,S,67,4_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,medium,high,medium,high,medium,low,low"
N,Y,S,N_Y_S.png,training,3,22,9,high,color,wing,tail,Y,B,N,T,H2,H1,I1,C,S,67,9_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,medium,high,medium,high,medium,low,low"
T,B,S,T_B_S.png,training,3,23,3,low,color,wing,tail,Y,B,N,T,L2,L1,I1,C,S,67,3_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,medium,high,medium,high,medium,low,low"
N,Y,C,N_Y_C.png,training,3,24,8,high,color,wing,tail,Y,B,N,T,H2,H1,I2,C,S,67,8_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png","medium,medium,high,medium,high,medium,low,low"
